Хозяева,Гости,Голы хозяев,Голы гостей,Владение мячом хозяев,Владение мячом гостей,Удары по воротам хозяев,Удары по воротам гостей,Удары в створ хозяев,Удары в створ гостей,Удары мимо хозяев,Удары мимо гостей,Заблокированные удары хозяев,Заблокированные удары гостей,Сэйвы хозяев,Сэйвы гостей,Фолы хозяев,Фолы гостей,Угловые удары хозяев,Угловые удары гостей,Штрафные удары хозяев,Штрафные удары гостей,Вне игры хозяев,Вне игры гостей,Удары от ворот хозяев,Удары от ворот гостей,Автоголы хозяев,Автоголы гостей,Забитые пенальти хозяев,Забитые пенальти гостей,Незабитые пенальти хозяев,Незабитые пенальти гостей,Вбрасывания хозяев,Вбрасывания гостей
Хоффенхайм,Айнтрахт Ф, 1 , 2 ,61%,39%,11,7,6,2,5,5,1,2,0,5,11,13,8,6,13,14,3,0,6,9,0,0,0,0,0,0,30,19
Фортуна,Вердер, 0 , 1 ,45%,55%,7,7,2,3,5,4,2,3,3,2,17,15,6,4,16,19,2,1,7,20,1,1,0,0,0,0,25,26
Герта,ФК Бавария, 0 , 4 ,35%,65%,3,14,1,9,2,5,1,2,5,1,7,14,0,4,17,8,1,3,12,5,0,0,0,1,0,0,13,22
Майнц,Фрайбург, 1 , 2 ,62%,38%,18,7,10,4,8,3,3,4,2,9,15,11,7,5,13,17,2,2,6,16,0,0,0,0,0,0,24,29
Шальке-04,Боруссия М, 2 , 0 ,55%,45%,11,7,7,5,4,2,1,4,5,5,13,17,8,8,18,13,0,1,6,12,0,0,0,0,0,0,19,14
Аугсбург,Боруссия Д, 3 , 5 ,48%,52%,8,15,5,9,3,6,0,1,4,2,6,6,2,6,8,11,5,2,9,12,0,0,0,0,0,0,10,18
Кёльн,Вольфсбург, 3 , 1 ,49%,51%,11,14,7,9,4,5,0,3,8,4,9,18,8,5,18,11,2,0,10,8,0,0,0,0,0,0,18,29
Падерборн,Байер, 1 , 4 ,35%,65%,10,9,7,7,3,2,2,1,3,6,8,11,6,4,15,9,1,4,2,6,0,0,0,0,0,0,25,21
ФК Бавария,Шальке-04, 5 , 0 ,69%,31%,21,6,15,2,6,4,3,1,2,10,3,5,9,2,7,6,3,2,5,11,0,0,0,0,0,0,18,17
Боруссия Д,Кёльн, 5 , 1 ,57%,43%,13,8,9,4,4,4,0,0,3,4,5,7,1,3,12,6,1,5,6,4,0,0,0,0,0,0,14,14
Байер,Фортуна, 3 , 0 ,55%,45%,17,8,9,3,8,5,4,2,3,6,10,11,8,5,14,12,2,3,10,12,0,0,1,0,0,0,12,13
Боруссия М,Майнц, 3 , 1 ,57%,43%,11,12,6,9,5,3,4,1,8,3,7,14,6,3,18,12,5,4,7,7,0,0,0,0,0,0,30,17
Вольфсбург,Герта, 1 , 2 ,58%,42%,16,8,8,4,8,4,4,1,2,7,8,9,9,4,10,11,3,1,7,9,0,0,0,0,0,0,27,23
Айнтрахт Ф,РБ Лейпциг, 2 , 0 ,42%,58%,5,16,5,6,0,10,1,3,6,3,7,8,4,6,9,7,0,1,12,4,0,0,0,0,0,0,13,44
Вердер,Хоффенхайм, 0 , 3 ,55%,45%,8,8,3,5,5,3,8,0,3,3,16,15,7,4,16,17,1,1,4,7,1,0,0,0,0,0,23,16
Фрайбург,Падерборн, 0 , 2 ,54%,46%,15,14,7,3,8,11,7,1,1,7,10,8,6,6,8,10,0,0,13,9,0,0,0,1,0,0,30,24
Унион Берлин,Аугсбург, 2 , 0 ,48%,52%,7,10,3,3,4,7,2,1,3,1,17,9,4,5,12,19,2,3,10,7,0,0,0,0,0,0,20,36
Боруссия Д,Унион Берлин, 5 , 0 ,62%,38%,10,3,7,1,3,2,4,1,1,2,7,8,5,3,8,9,2,0,7,5,0,0,1,0,0,0,24,18
РБ Лейпциг,Боруссия М, 2 , 2 ,63%,37%,16,5,11,4,5,1,3,2,2,9,12,14,4,4,17,12,0,3,3,10,0,0,0,0,0,0,21,23
Хоффенхайм,Байер, 2 , 1 ,40%,60%,10,13,6,8,4,5,2,6,7,4,9,11,4,10,15,10,1,4,11,6,0,0,0,0,0,0,22,19
Фортуна,Айнтрахт Ф, 1 , 1 ,55%,45%,4,4,1,3,3,1,3,0,2,0,8,11,4,4,14,13,5,3,3,15,0,0,0,0,0,0,22,25
Герта,Шальке-04, 0 , 0 ,43%,57%,7,6,0,3,7,3,2,5,3,0,9,9,3,7,12,10,1,3,5,12,0,0,0,0,0,0,30,26
Майнц,ФК Бавария, 1 , 3 ,31%,69%,9,9,5,5,4,4,0,2,2,4,13,11,6,4,13,15,2,2,9,6,0,0,0,0,0,0,25,28
Аугсбург,Вердер, 2 , 1 ,52%,48%,11,2,5,0,6,2,3,4,0,3,10,22,5,3,26,15,5,3,5,13,1,0,0,0,0,0,26,25
Кёльн,Фрайбург, 4 , 0 ,56%,44%,16,4,7,2,9,2,6,3,2,3,13,11,10,6,13,15,2,2,8,14,0,0,0,0,0,0,19,17
Падерборн,Вольфсбург, 2 , 4 ,49%,51%,9,9,7,5,2,4,0,0,1,5,14,17,3,7,20,16,2,3,9,7,0,0,0,0,0,0,36,26
ФК Бавария,РБ Лейпциг, 0 , 0 ,52%,48%,4,5,3,0,1,5,6,1,0,3,8,15,11,3,23,11,3,8,6,7,0,0,0,0,0,0,22,16
Байер,Боруссия Д, 4 , 3 ,51%,49%,8,11,6,6,2,5,0,0,3,2,9,11,3,7,13,13,4,2,8,4,0,0,0,0,0,0,19,26
Боруссия М,Кёльн, 2 , 1 ,52%,48%,6,10,5,4,1,6,5,1,3,4,13,15,6,3,16,15,2,1,9,3,0,1,0,0,0,0,23,19
Вольфсбург,Фортуна, 1 , 1 ,48%,52%,8,8,5,3,3,5,0,2,2,4,11,15,3,5,18,15,4,3,7,5,0,0,0,0,0,0,23,22
Айнтрахт Ф,Аугсбург, 5 , 0 ,57%,43%,13,5,12,4,1,1,1,3,4,7,7,5,1,4,8,10,2,3,5,7,0,0,0,0,0,0,20,27
